Industry Clean,Mapped,count,Industry Ref
Ad Tech/MarTech,,1,Ad Tech/MarTech
Ad tech/mobile marketinf,,1,Ad tech/mobile marketinf
Ad Technology,,1,Ad Technology
Addiction Recovery,,1,Addiction Recovery
Admin,,1,Admin
Admin A/R Billing,,1,Admin A/R Billing
Accounting,true,1,Admin Assistant in Big 4 Accounting Firm
Environmental Services,true,1,Admin/Environmental Consulting
Construction,true,1,administration / construction (union)
Ads / Classifieds,,1,Ads / Classifieds
adult beverage,,1,adult beverage
Motion Pictures and Film,true,1,Adult Film
Advanced composites,,1,Advanced composites
Advancement in Higher Ed,,1,Advancement in Higher Ed
Fund-Raising,true,1,Advancement/Development/Fundraising
Computer Software,true,1,Advertising / Software
Public Relations and Communications,true,1,Advertising & Communications
Design,true,1,Advertising & Design
Media,true,1,Advertising and Media
Design,true,1,Advertising/Design
Marketing and Advertising,true,1,Advertising/Internet Marketing
Media,true,1,Advertising/Media
Marketing and Advertising,true,1,Advertising/PR
Publishing,true,1,Advertising/Publishing
Marketing and Advertising,true,1,Advertising/sales-LGBTQ focused
advocacy,,1,advocacy
advocay work,,1,advocay work
AECO,,1,AECO
Aero,,1,Aero
Defense & Space,true,1,Aero Space
Aerodpace,,1,Aerodpace
Aeronautic engineering,,1,Aeronautic engineering
Defense & Space,true,1,Aerospace & Defense Manufacturing
Airlines/Aviation,true,1,Aerospace and Aviation
Defense & Space,true,1,Aerospace defense contractor
Defense & Space,true,1,Aerospace Finance
Defense & Space,true,1,Aerospace industry
Defense & Space,true,1,Aerospace metal recycling
Defense & Space,true,1,Aerospace sales
Defense & Space,true,1,Aerospace Training
Defense & Space,true,1,Aerospace/Government
Affiliate websites,,1,Affiliate websites
Government Administration,true,1,Affordable Housing (Semi-Governmental)
Affordable housing development,,1,Affordable housing development
Transportation/Trucking/Railroad,true,1,Aftermarket Heavy Duty Truck Parts
AgTech,,1,ag tech
Aging Care,,1,Aging Care
Agricultural,,1,Agricultural
Biotechnology,true,1,Agricultural biotechnology
Chemicals,true,1,Agricultural Chemical Services
Hospital & Health Care,true,1,Agricultural Healthcare
Non-Profit Organization Management,true,1,agricultural nonprofit
Agricultural Research,,1,Agricultural Research
Agriculture equipment,,1,Agriculture equipment
Agriculture technology,,1,Agriculture technology
Primary & Secondary Education,true,1,Agriculture/Education
Agriculture/Finance,,1,Agriculture/Finance
Hospitality,true,1,Agriculture/Hospitality
Agriculture/sales,,1,Agriculture/sales
AgTech,,1,AgTech
AI,,1,AI
Biotechnology,true,1,AI/Biotech
Aid,,1,Aid
Ailine,,1,Ailine
Package/Freight Delivery,true,1,air freight
Air Pollution Regulation,,1,Air Pollution Regulation
Public Safety,true,1,Air safety
Manufacturing,true,1,Aircraft manufacturing
Airlines/Aviation,true,1,Airline Catering/Data Management
Airlines/Aviation,true,1,Airline R/D
Airport,,1,Airport
Retail,true,1,Airport Retail
Alarms,,1,Alarms
Alchol,,1,Alchol
Alcohol beverages,,1,Alcohol beverages
Alcoholic Beverage Sales,,1,Alcoholic Beverage Sales
Alternative Asset Management,,1,Alternative Asset Management
Primary & Secondary Education,true,1,Alternative education
Amazon,,1,Amazon
Amusement,,1,Amusement
Chemicals,true,1,Analytical Chemistry
Animal Care/Research,,1,Animal Care/Research
Animal Control,,1,Animal Control
Veterinary,true,1,Animal health distribution
Veterinary,true,1,Animal Health Marketing
Animal vaccine manufacture,,1,Animal vaccine manufacture
Animal welfare,,1,Animal welfare
Any industry to show how free-form text is useless in this context.,,1,Any industry to show how free-form text is useless in this context.
Apartment Management,,1,Apartment Management
Apparel & Fashion,true,1,Apparel + Footwear
Apparel & Fashion,true,1,Apparel/Retail
Appliance repair,,1,Appliance repair
aquaria and conservation,,1,aquaria and conservation
Aquatics,,1,Aquatics
Arbor care,,1,Arbor care
Arboriculture  / Landscaping,,1,Arboriculture  / Landscaping
Construction,true,1,Arch/Eng/Construction
Archaeological consulting,,1,Archaeological consulting
Architecture & Planning,true,1,Architect
Architecture & Planning,true,1,Architect - Infrastructure
Architecture & Planning,true,1,Architectural Design
Architecture & Planning,true,1,Architectural Woodworking
Architecture & Planning,true,1,Architectural/Engineering Firm
Architecture & Planning,true,1,Architecture / Engineering
Architecture & Planning,true,1,Architecture & Planning
Architecture & Planning,true,1,Architecture + Construction
Architecture & Planning,true,1,Architecture and Construction
Architecture & Planning,true,1,Architecture and Interior Desgin
Architecture & Planning,true,1,"Architecture, Engineering, Planning and Interiors"
Architecture & Planning,true,1,Architecture/ interiors
Architecture & Planning,true,1,Architecture/Planning
Archives (higher ed),,1,Archives (higher ed)
Archives (municipal govt.),,1,Archives (municipal govt.)
Museums and Institutions,true,1,Archives (spec. Museum Archives)
Research,true,1,"Archives, Academic"
Archiving/Tech,,1,Archiving/Tech
Construction,true,1,Archjitecture/Engineering/Construction
Military,true,1,army
Airlines/Aviation,true,1,Army Aviation
Publishing,true,1,Art and Publishing
Fine Art,true,1,Art conservation
Fine Art,true,1,Art Consulting
Fine Art,true,1,Art gallery
Entertainment,true,1,Art/entertainment
Fine Art,true,1,Art/Picture Framing
Fine Art,true,1,Arts (classical music)
Fine Art,true,1,Arts / Theatre / NFP
Fine Art,true,1,"Arts & Culture (Museums, Institutions, etc.)"
Entertainment,true,1,Arts & Entertainment
Fine Art,true,1,Arts & Media
Fine Art,true,1,arts administration/higher ed
Fine Art,true,1,Arts and cultural heritage
Non-Profit Organization Management,true,1,Arts and Culture- Non Profit
Entertainment,true,1,Arts and entertainment
Non-Profit Organization Management,true,1,Arts and entertainment (nonprofit)
Mental Health Care,true,1,Arts education/Mental Health
Fine Art,true,1,Arts Industry
Fine Art,true,1,arts management
Fine Art,true,1,Arts Marketing
Non-Profit Organization Management,true,1,Arts non-profit (Museum)
Non-Profit Organization Management,true,1,"Arts non-profit, Orchestra"
Non-Profit Organization Management,true,1,Arts nonprofit -- classical music performance
Fine Art,true,1,Arts Organisation/books/NGO
Fine Art,true,1,"Arts, Culture, Heritage"
Research,true,1,Arts/Academia
Fine Art,true,1,Arts/Cultural Organization
Fine Art,true,1,Arts/Museum
Asbestos abatement,,1,Asbestos abatement
Assessor,,1,Assessor
Assist Management,,1,Assist Management
Assisted Living,,1,Assisted Living
Hospital & Health Care,true,1,Association (health care)
Construction,true,1,Association Management - Construction
Publishing,true,1,"Associations, Magazine Publishing"
Non-Profit Organization Management,true,1,Associations/nonprofit
Athletic Drug Testing,,1,Athletic Drug Testing
Apparel & Fashion,true,1,Athletic Shoes and Apparel
Professional Training & Coaching,true,1,Athletic Training
ATM Industry,,1,ATM Industry
Computer Hardware,true,1,Attendance hardware/software
Attractions,,1,Attractions
Auction House,,1,Auction House
Consumer Electronics,true,1,Audio electronics
Audio Video,,1,Audio Video
Audio Video Integration,,1,Audio Video Integration
Audio Visual (Commercial),,1,Audio Visual (Commercial)
Audio visual sales and installation,,1,Audio visual sales and installation
Audiovisual Consulting,,1,Audiovisual Consulting
Automotive,true,1,Auto Collision
Automotive,true,1,Auto collision repair
Automotive,true,1,Auto finance captive lender
Automotive,true,1,Auto mfg.
Automotive,true,1,Auto parts
Automotive,true,1,Auto Racing and Tuning
Automotive,true,1,AUTO REPAIR
Automotive,true,1,AutoFinance
Automotive,true,1,Automation Engineering
Automotive,true,1,Automobile Dealership
Automotive,true,1,Automobile Sales
Automotive,true,1,Automobilr
Automotive,true,1,Automotive - Car Dealership
Automotive,true,1,"Automotive (IT, specifically)"
Automotive,true,1,Automotive (Tier II Supplier)
Automotive,true,1,Automotive / Financial
Automotive,true,1,Automotive & Aerospace
Automotive,true,1,Automotive Aftermarket
Automotive,true,1,Automotive Electronics
Automotive,true,1,Automotive entertainment
Automotive,true,1,Automotive Finance
Automotive,true,1,Automotive Financial Services
Automotive,true,1,Automotive Manufacturer
Automotive,true,1,Automotive Marketing
Automotive,true,1,Automotive Parts
Automotive,true,1,Automotive pr
Automotive,true,1,Automotive R&D
Automotive,true,1,automotive repair
Automotive,true,1,Automotive supplier (npt OEM)
Automotive,true,1,Automotive Supply
Automotive,true,1,Automotive technology
Automotive,true,1,Automotive testing
Automotive,true,1,Autonomous Vehicles
AV Freelance,,1,AV Freelance
Airlines/Aviation,true,1,Aviatino
Airlines/Aviation,true,1,Aviation manufacturing
Airlines/Aviation,true,1,Aviation Support Services
Airlines/Aviation,true,1,Aviation/aerospace
Airlines/Aviation,true,1,Aviation/Defense
Airlines/Aviation,true,1,Aviation/Government
Airlines/Aviation,true,1,Aviation/Medicine
Airlines/Aviation,true,1,Aviation/Navigation
Avionics,,1,Avionics
Awards & Recognition,,1,Awards & Recognition
B2B Services,,1,B 2 B Services
B to B,,1,B to B
B-corp,,1,B-corp
B2B,,1,B2B
B2B Marketing,,1,B2B Marketing
Publishing,true,1,B2B Publishing
B2B Services,,1,B2B Services
Computer Software,true,1,B2B Software Sales
Computer Software,true,1,B2C Software
babysitting,,1,babysitting
Background checking,,1,Background checking
Background checks,,1,Background checks
Background Screening,,1,Background Screening
Retail,true,1,Bakery (Wholesale and Retail)
Baking,,1,Baking
Banking,true,1,Bank Regulation
Banking,true,1,Banking - Wealth Management
Banking,true,1,Banking (credit union)
Banking,true,1,Banking & Technology
Banking,true,1,Banking Operations
Banking,true,1,Banking Software
Banking,true,1,banking/ financial services
Banking,true,1,Banking/credit union
Banking,true,1,Banking/Credit Union Software
Banking,true,1,Banking/Financial
Banking,true,1,Banking/lending
Banking,true,1,Banking/technology
Banking,true,1,Bankruptcy
Basic materials,,1,Basic materials
Batteries,,1,Batteries
Battery,,1,Battery
Beauty / Wellness,,1,Beauty / Wellness
Beauty CPG,,1,Beauty CPG
Hospital & Health Care,true,1,behavioral health/non-profit
Behavioral research equipment,,1,Behavioral research equipment
Behavioral Therapy (Psychology),,1,Behavioral Therapy (Psychology)
Benefit Compensation,,1,Benefit Compensation
Benefits,,1,Benefits
Benefits Administration,,1,Benefits Administration
Benefits consulting (actuarial),,1,Benefits consulting (actuarial)
Beverage Alcohol,,1,Beverage Alcohol
Wine and Spirits,true,1,Beverage Industry- Wine & Spirits
Beverage Marketing/Sales,,1,Beverage Marketing/Sales
Big 4,,1,Big 4
Retail,true,1,Big box retail
Retail,true,1,Big box store.  Retail
Big Data Technology,,1,Big Data Technology
Accounting,true,1,Big Four Accounting
Big Pharma,,1,Big Pharma
Big Science,,1,Big Science
Big tech,,1,Big tech
Bindery,,1,Bindery
Biotechnology,true,1,Bio assay development
Biotechnology,true,1,Bio pharmaceutical
Biotechnology,true,1,Biochemistry- pharmaceuticals
Biotechnology,true,1,Biofuels
Biotechnology,true,1,Biological/biomedical research
Research,true,1,Biology - Academia
Biotechnology,true,1,Biomedical Engineering
Biotechnology,true,1,Biomedical science (government)
Biotechnology,true,1,Biomedical sciences
Biotechnology,true,1,Biomedical/Medical Device
Biotechnology,true,1,Biophysics
Biotechnology,true,1,Biotech / Genomics
Biotechnology,true,1,Biotech consulting
Biotechnology,true,1,Biotech research
Biotechnology,true,1,Biotech Sales
Biotechnology,true,1,Biotech Startup
Biotechnology,true,1,Biotech Venture Capital
Biotechnology,true,1,biotech-diagnostics
Biotechnology,true,1,Biotech/Marketing
Biotechnology,true,1,BiotechMar
Biotechnology,true,1,Biotechnology/Biology
Biotechnology,true,1,Biotechnology/Pharmaceuticals
Blockchain,,1,Blockchain
Banking,true,1,Blood Bank
Banking,true,1,Blood Banking (non profit)
Bookkeeping,,1,Bookkeeping
Books,,1,Books
bookseller,,1,bookseller
Bookselling,,1,Bookselling
Retail,true,1,Bookselling/retail
bookstore,,1,bookstore
BPO,,1,BPO
Brand / Marketing,,1,Brand / Marketing
Brand Management & Marketing,,1,Brand Management & Marketing
Publishing,true,1,Branded Content/Publishing
Public Relations and Communications,true,1,Branding/communications
Brewery,,1,Brewery
Brewery/craft beer,,1,Brewery/craft beer
Broadcast Media,true,1,Broadcast Journalism
Broadcast Media,true,1,Broadcasting/communications
Investment Management,true,1,Broker dealer in investment
Brokerage industry,,1,Brokerage industry
BSA/AML Compliance,,1,BSA/AML Compliance
Bsnking,,1,Bsnking
Building Materials,true,1,Building
Building Materials,true,1,Building & Construction
Automotive,true,1,Building Automation
Building Materials,true,1,Building Construction (Engineering)
Building Materials,true,1,Building Controls
Building Materials,true,1,Building efficiency
Building Materials,true,1,Building facilities services
Building Materials,true,1,Building Materials Distribution
Building Materials,true,1,Building Materials Supplier
Building Materials,true,1,Building Operations
Building Materials,true,1,Building Services (Construction & Janitorial)
Building Materials,true,1,Building Supplies
Building Materials,true,1,Building Supplies & Lumber
Building Materials,true,1,Building Technologies
Building Materials,true,1,Building trades
Building Materials,true,1,Buildings and Infrastructure
Consumer Goods,true,1,Buldings - interier goods
Bulk Material Handling,,1,Bulk Material Handling
Business and Technical Consulting,,1,Business and Technical Consulting
Business association,,1,Business association
Professional Training & Coaching,true,1,Business coaching
business consulting and market research,,1,business consulting and market research
Business Development,,1,Business Development
Computer Software,true,1,Business Equipment and software solutions
Business intelligence,,1,Business intelligence
Business Intelligence/ICT,,1,Business Intelligence/ICT
Business Management,,1,Business Management
Business operations,,1,Business operations
Business owner,,1,Business owner
Business Process Improvement,,1,Business Process Improvement
Business Process Outsourcing,,1,Business Process Outsourcing
Business Services-technology,,1,Business Services-technology
Business Solutions,,1,Business Solutions
Business Support Services,,1,Business Support Services
Human Resources,true,1,"Business Transformation, Human Resources"
Publishing,true,1,Business-to-Business Publishing
Business/IT Consulting,,1,Business/IT Consulting
Busing,,1,Busing
C store management,,1,C store management
Cabinet,,1,Cabinet
Internet,true,1,Cable internet provider
CAD/CAM,,1,CAD/CAM
Call Center / Sales,,1,Call Center / Sales
Call Center Management,,1,Call Center Management
Retail,true,1,call center/retail
Call centre,,1,Call centre
campground sales /  camping pgs.,,1,campground sales /  camping pgs.
Camping,,1,Camping
Cancer Clinical Trials,,1,Cancer Clinical Trials
Cancer Research,,1,Cancer Research
Candle making,,1,Candle making
Human Resources,true,1,Capital human solutiond
Car and Technology,,1,Car and Technology
Insurance,true,1,Car insurance
Car Rental Industry,,1,Car Rental Industry
Car salesman,,1,Car salesman
Care giver,,1,Care giver
Caregiving,,1,Caregiving
Caring for developmentally disabled adults,,1,Caring for developmentally disabled adults
carpentry,,1,carpentry
Cartography,,1,Cartography
Information Technology and Services,true,1,casino IT
Events Services,true,1,Catering (Wedding & Other Events)
CBD Industry,,1,CBD Industry
Package/Freight Delivery,true,1,CdL delivery driver hazmat
Cellular sales,,1,Cellular sales
"Glass, Ceramics & Concrete",true,1,Ceramics
"Glass, Ceramics & Concrete",true,1,Ceramics Manufacturing
certification,,1,certification
CG,,1,CG
Chamber of Commerce,,1,Chamber of Commerce
Change Management Consulting,,1,Change Management Consulting
Charitable,,1,Charitable
Fund-Raising,true,1,Charitable fundraising organization
Charitable Giving,,1,Charitable Giving
Charity - Agricultural,,1,Charity - Agricultural
Fund-Raising,true,1,Charity fundraising
Charity Marketing,,1,Charity Marketing
Chef,,1,Chef
Chemicals,true,1,Chemical Engineer
Chemicals,true,1,Chemical Industry
Chemicals,true,1,chemical manufacturer
Chemicals,true,1,Chemical mfg
Chemicals,true,1,Chemical Production
Chemicals,true,1,"chemical, coatings industry"
Chemicals,true,1,Chemical/coatings
Primary & Secondary Education,true,1,Child Care/Early Childhood Education
Child development research,,1,Child development research
Mental Health Care,true,1,Child mental health
Child Nutrition Program,,1,Child Nutrition Program
Child Support Services,,1,Child Support Services
Childcare (corporate office though),,1,Childcare (corporate office though)
Museums and Institutions,true,1,Children's Museum
Primary & Secondary Education,true,1,Children's/educational media
Design,true,1,Chip design
Chiropractic,,1,Chiropractic
Church Minister,,1,Church Minister
Church ministry,,1,Church ministry
Church Work,,1,Church Work
Religious Institutions,true,1,Church/Religious institute
Government Administration,true,1,City Government - Library
City municipality,,1,City municipality
Civil Engineering,true,1,Civil Engineering (land development)
Civil Engineering,true,1,Civil Engineering (Traffic Engineer)
Civil Engineering,true,1,Civil legal services
Civil Engineering,true,1,Civil Materials Testing/NDE
Civil Engineering,true,1,Civil Nuclear
Civil rights advocacy,,1,Civil rights advocacy
Civil Service (UK),,1,Civil Service (UK)
Music,true,1,Classical Music
Oil & Energy,true,1,Clean Energy
Clean Tech,,1,Clean Tech
Clean Technology,,1,Clean Technology
Cleaning,,1,Cleaning
Clean Tech,,1,Cleantech
Information Technology and Services,true,1,Clinical IT
Clinical laboratory testing,,1,Clinical laboratory testing
Research,,1,Clinical Research - Oncology
Research,,1,Clinical Research (employer is a university)
Research,,1,Clinical Research Organization
Research,,1,Clinical Research Trials
Pharmaceuticals,true,1,Clinical research-pharmaceuticals
Clinical Social Work,,1,Clinical Social Work
Clinical trial marketing,,1,Clinical trial marketing
clothing distribution,,1,clothing distribution
Cloud Infrastructure,,1,Cloud Infrastructure
CNC Machining,,1,CNC Machining
Oil & Energy,true,1,Coal/Energy
Coding,,1,Coding
Coffee Shop,,1,Coffee Shop
Coliving,,1,Coliving
Collateral Recovery,,1,Collateral Recovery
college administration,,1,college administration
College Admissions,,1,College Admissions
Fund-Raising,true,1,College and University Fundraising
Public Relations and Communications,true,1,College communications office
College Counseling Cebter,,1,College Counseling Cebter
College Institution,,1,College Institution
Retail,true,1,College retail
"Colleges, Universities, and Professional Schools (611310)",,1,"Colleges, Universities, and Professional Schools (611310)"
Retail,true,1,Collegiate retail
collision repair,,1,collision repair
Aviation & Aerospace,true,1,Commercial Aerospace
Airlines/Aviation,true,1,commercial airline
Consumer Goods,true,1,Commercial and Industrial Goods
Commercial garage doors,,1,Commercial garage doors
Consumer Goods,true,1,Commercial goods
Commercial Interiors,,1,Commercial Interiors
Commercial kitchen equipment,,1,Commercial kitchen equipment
Commercial Material Handling,,1,Commercial Material Handling
Commercial Real Eatate ( global firm),,1,Commercial Real Eatate ( global firm)
Commercial Real Estate,true,1,Commercial real estate finance
Commercial Real Estate,true,1,Commercial Real Estate Management
Commercial Real Estate,true,1,Commercial Real Estate Property Management
Commercial Roofing,,1,Commercial Roofing
Commercial Satellite Imagery,,1,Commercial Satellite Imagery
Food & Beverages,true,1,Commercial Seafood
Real Estate,true,1,Commerical Real Estate
Retail,true,1,Commission retail sales
Commodity hedging / purchasing,,1,Commodity hedging / purchasing
Communication equipment,,1,Communication equipment
Communication/Journalism,,1,Communication/Journalism
Package/Freight Delivery,true,1,Communications - Delivery
Public Relations and Communications,true,1,Communications and PR
Public Relations and Communications,true,1,communications consulting
Communications Engineering,,1,Communications Engineering
Primary & Secondary Education,true,1,Communications in Education
Computer Software,true,1,Communications software
Communications Systems,,1,Communications Systems
Media,true,1,Communications/Media
Public Relations and Communications,true,1,Communications/PR
Public Relations and Communications,true,1,Communications/Public Relations
Publishing,true,1,Communications/Publishing
Community Counseling Center,,1,Community Counseling Center
Community Development,,1,Community Development
Non-Profit Organization Management,true,1,Community Development Financial Institution (CDFI) -- it's a nonprofit financial institution
Community Foundation,,1,Community Foundation
Community Management,,1,Community Management
Mental Health Care,true,1,Community Mental Health - Research
Community Organizing/Social Justice,,1,Community Organizing/Social Justice
Recreational Facilities and Services,true,1,Community recreation
Compensation,,1,Compensation
Financial Services,true,1,Compliance/Financial Services
Components,,1,Components
composites,,1,composites
Consumer Electronics,true,1,Computer and Electronics
Computer and Tech,,1,Computer and Tech
Computer consulting and research,,1,Computer consulting and research
Computer Games,true,1,computer games
Computer Hardware,true,1,Computer hardware engineering
Computer Networking,true,1,Computer Networks
Computer Peripherals,,1,Computer Peripherals
Computer programming,,1,Computer programming
Computer sales/repair,,1,Computer sales/repair
Computer Science/research,,1,Computer Science/research
Computer Software,true,1,Computer software medical
Computer Software,true,1,Computer Software/Technology
Computer storage,,1,Computer storage
Computer Storage Device Manufacturer,,1,Computer Storage Device Manufacturer
Professional Training & Coaching,true,1,Computer Training
Computer/IT services,,1,Computer/IT services
Computer Hardware,true,1,Computer/print hardware
Concert Touring,,1,Concert Touring
Concert venues,,1,Concert venues
Conference production,,1,Conference production
Events Services,true,1,"Conferences, Meetings and Events"
Conglomerate,,1,Conglomerate
Conservation NGO,,1,Conservation NGO
Museums and Institutions,true,1,Conservation/zoo/aquarium/museum
Consiltingo,,1,Consiltingo
Construction,true,1,Construction - Commercial Flooring
Construction,true,1,Construction - Oil and Gas
Construction,true,1,Construction and Development
Construction,true,1,Construction and Industrial Sector
Construction,true,1,Construction Consultancy
Construction,true,1,Construction Consultation
Construction,true,1,Construction Contracting
Primary & Secondary Education,true,1,Construction education
Construction,true,1,Construction Equipment
Construction,true,1,Construction Equipment Sales
Construction,true,1,construction fastener sales
Construction,true,1,Construction Highway and Utility
Construction,true,1,Construction Industry
Construction,true,1,Construction maintenance
Construction,true,1,Construction Management Engineering
Construction,true,1,Construction material testing
Construction,true,1,Construction QA/QC
Construction,true,1,Construction Supplies
Construction,true,1,construction surveying
Construction,true,1,Construction technology
Construction,true,1,Construction- road/highway work
Construction,true,1,"Construction, remodeling"
Construction,true,1,Construction/ advertising
Construction,true,1,Construction/Aggregates
Architecture & Planning,true,1,Construction/Engineering/Architecture
Construction,true,1,Construction/Environmental Consulting
Construction,true,1,Construction/Land Development
Consultant,,1,Consultant
Oil & Energy,true,1,Consultant - Energy Industry
CONSULTANT ERP,,1,CONSULTANT ERP
Consulting - Internal Audit,,1,Consulting - Internal Audit
Information Technology and Services,,1,Consulting (Data Analysis)
Financial Services,true,1,Consulting (Financial Crimes Compliance @ Financial Institutions)
Non-Profit Organization Management,true,1,Consulting (nonprofits)
Non-Profit Organization Management,true,1,Consulting (Public Sector/Nonprofit)
Information Technology and Services,,1,Consulting (Technology Industry)
Consulting Services,,1,Consulting Services
"Consulting, research, analysis",,1,"Consulting, research, analysis"
Consulting/Economics,,1,Consulting/Economics
Information Technology and Services,,1,Consulting/Tech
Consumer,,1,Consumer
Consumer Electronics,true,1,Consumer and Professional Electronics
Consumer appliances,,1,Consumer appliances
Consumer Electronics,true,1,Consumer Electronics Accessories
Consumer engineering,,1,Consumer engineering
Consumer finance,,1,Consumer finance
Consumer Goods,true,1,Consumer Goods - Durable
Consumer Goods,true,1,Consumer Goods & Services
Computer Hardware,true,1,Consumer Hardware
Consumer Lending,,1,Consumer Lending
Consumer Goods,true,1,Consumer Packaged Goods/OTC Pharmaceuticals
Design,true,1,Consumer product design
Computer Software,true,1,Consumer Products & Software
Consumer Goods,,1,Consumer products personal care
Retail,true,1,"Consumer products, ecommerce retail"
Retail,true,1,Consumer retail / eCommerce warehousing
Computer Hardware,true,1,Consumer Software & Hardware
Consumer/Pharmaceutical Sales,,1,Consumer/Pharmaceutical Sales
Consumer Goods,,1,Consumer/Pro Audio
Content Development,,1,Content Development
Content Marketing,,1,Content Marketing
Content Service Provider,,1,Content Service Provider
Content strategy,,1,Content strategy
Higher Education,true,1,Continuing Education
Higher Education,true,1,Continuing Education/Higher Ed
Contract administration,,1,Contract administration
Contract Engineering,,1,Contract Engineering
Food & Beverages,true,1,Contract Food Service
Furniture,true,1,Contract Furniture
Manufacturing,true,1,Contract manufacturing
Legal Services,,1,Contract research
Legal Services,,1,Contract Research and Consulting
Legal Services,,1,Contract Research Organization
Legal Services,,1,Contract research organization (CRO)
Pharmaceuticals,true,1,Contract Research Organization (Pharmaceuticals)
Contraction,,1,Contraction
Government Administration,true,1,Contractor with Federal Government
controls,,1,controls
Convention Center,,1,Convention Center
Conventions and meetings,,1,Conventions and meetings
Conveyancing,,1,Conveyancing
Manufacturing,true,1,Conveyor Manufacturing
Copiers,,1,Copiers
Accounting,true,1,Corporate Accounting
Corporate Business Management,,1,Corporate Business Management
Corporate catering,,1,Corporate catering
Corporate Development,,1,Corporate Development
Corporate digital,,1,Corporate digital
Corporate e-commerce/distribution,,1,Corporate e-commerce/distribution
Primary & Secondary Education,true,1,Corporate Education
Corporate Fortune 50,,1,Corporate Fortune 50
Corporate Gifting and Incentives,,1,Corporate Gifting and Incentives
Information Technology and Services,true,1,Corporate IT
corporate office,,1,corporate office
Philanthropy,true,1,Corporate Philanthropy
Photography,true,1,Corporate photography
Real Estate,true,1,Corporate Real Estate
Apparel & Fashion,true,1,Corporate Retail/Fashion
Computer & Network Security,true,1,Corporate Security
Staffing and Recruiting,true,1,Corporate staffing
Corporate sustainability,,1,Corporate sustainability
"Leisure, Travel & Tourism",true,1,Corporate Travel Management
Corporate Wellness/Fitness,,1,Corporate Wellness/Fitness
Mental Health Care,true,1,Correctional Mental Health Care
Cosmetics,true,1,Cosmetic Sales
Cosmetics,true,1,Cosmetics / Consumer Goods
Cosmetology,,1,Cosmetology
Cosntruction,,1,Cosntruction
Costco,,1,Costco
Country Club,,1,Country Club
County,,1,County
Government Administration,true,1,County Governmenr
Information Technology and Services,true,1,county government IT
Government Administration,true,1,County Government/Libraries
County govt,,1,County govt
Government Administration,true,1,County level government
Government Administration,true,1,Court/Government
Commercial Real Estate,true,1,Coworking/Commercial Real Estate
CPA,,1,CPA
Manufacturing,true,1,CPG Manufacturing
CPS Brokerage,,1,CPS Brokerage
Craft Beer,,1,Craft Beer
Craft beverage production,,1,Craft beverage production
Arts and Crafts,true,1,Crafts
Construction,true,1,crash reconstruction
creative -- freelancing,,1,creative -- freelancing
Creative services,,1,Creative services
Graphic Design,true,1,Creative/Graphic Design
Creative/Marketing,,1,Creative/Marketing
Credentialing/professional association,,1,Credentialing/professional association
Credit,,1,Credit
Credit Bureau,,1,Credit Bureau
Credit card,,1,Credit card
Credit Card Processing,,1,Credit Card Processing
credit union -finance,,1,credit union -finance
Criminal defense - federal public defender,,1,Criminal defense - federal public defender
Non-Profit Organization Management,true,1,criminal justice non-profit
Criminology,,1,Criminology
crop protection,,1,crop protection
Crude Terminal,,1,Crude Terminal
Mining & Metals,true,1,Cryptocurruncy mining
Non-Profit Organization Management,true,1,Cultural & entertainment - nonprofit
Cultural Exchange,,1,Cultural Exchange
Primary & Secondary Education,true,1,Cultural Heritage/Education
Museums and Institutions,true,1,"Cultural Institutions (Museums, Zoos, Etc)"
Non-Profit Organization Management,true,1,Cultural Nonprofit (like museums)
Performing Arts,,1,"Currently a student, but I work in my drama department scene shop for my work study job"
Currently unemployed,,1,Currently unemployed
Apparel & Fashion,true,1,Custom Apparel
Custom Cabinetry,,1,Custom Cabinetry
Custom content,,1,Custom content
Custom Integration,,1,Custom Integration
Custom sewing,,1,Custom sewing
Human Resources,true,1,Customer Service / Human Resources
Customer service for e-commerce companies,,1,Customer service for e-commerce companies
Customer Success,,1,Customer Success
Customs brokerage,,1,Customs brokerage
Transportation/Trucking/Railroad,true,1,Customs/ Transportation
Computer & Network Security,true,1,Cyber security consulting
Computer & Network Security,true,1,Cyber Security/IT/Software Engineering
Computer & Network Security,true,1,Cybersecurity (finance)
Computer & Network Security,true,1,Cyberspace
Cycling,,1,Cycling
Cyzbersecuritz,,1,Cyzbersecuritz
Dairy,true,1,Dairy
Dairy,true,1,Dairy manufacturing
Dairy,true,1,"Dairy, Beverages, Transportation"
Primary & Secondary Education,true,1,dance education
Data & Technology Consulting,,1,Data & Technology Consulting
Data Analytics BI,,1,Data Analytics BI
Data and analytics,,1,Data and analytics
Data and technology,,1,Data and technology
Data Provider,,1,Data Provider
data science; university enrollment management,,1,data science; university enrollment management
Data solutions,,1,Data solutions
"Data Storage, analysis, Consulting",,1,"Data Storage, analysis, Consulting"
Data tech,,1,Data tech
Data Analytics,,1,Data/Analytics
Fund-Raising,true,1,Data/Tech/Fundraising
Database marketing,,1,Database marketing
Publishing,true,1,Database/textbook publishing
De,,1,De
Debt management,,1,Debt management
Deer hunting,,1,Deer hunting
Defense & Space,true,1,Defence/Telecom/Medical
Computer Software,true,1,Defense - Software
Defense & Intelligence,,1,Defense & Intelligence
Defense & Space,true,1,Defense & Security
Manufacturing,true,1,Defense Contracting and Manufacturing
